image_name,image_path,pred_cg3,pred_llgc,pred_manifold,label,confidence
image_0_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_0_label_frog.png,frog,frog,frog,frog,0.8024
image_1000_label_truck.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1000_label_truck.png,truck,truck,truck,truck,0.9456
image_1001_label_deer.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1001_label_deer.png,deer,deer,deer,deer,0.9112
image_1002_label_cat.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1002_label_cat.png,cat,cat,cat,cat,0.8663
image_1003_label_bird.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1003_label_bird.png,dog,bird,dog,dog,0.8436
image_1004_label_deer.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1004_label_deer.png,deer,deer,deer,deer,0.9066
image_1005_label_deer.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1005_label_deer.png,deer,deer,deer,deer,0.9075
image_1006_label_automobile.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1006_label_automobile.png,automobile,automobile,automobile,automobile,0.9603
image_1007_label_deer.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1007_label_deer.png,deer,deer,deer,deer,0.9101
image_1008_label_bird.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1008_label_bird.png,bird,bird,bird,bird,0.3195
image_1009_label_bird.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1009_label_bird.png,bird,bird,bird,bird,0.9197
image_100_label_ship.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_100_label_ship.png,ship,ship,ship,ship,0.9482
image_1010_label_cat.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1010_label_cat.png,cat,cat,cat,cat,0.4818
image_1011_label_ship.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1011_label_ship.png,ship,ship,ship,ship,0.9482
image_1012_label_airplane.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1012_label_airplane.png,airplane,airplane,airplane,airplane,0.9474
image_1013_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1013_label_frog.png,frog,frog,frog,frog,0.6441
image_1014_label_ship.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1014_label_ship.png,ship,ship,ship,ship,0.9460
image_1015_label_dog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1015_label_dog.png,dog,dog,dog,dog,0.9055
image_1016_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1016_label_frog.png,frog,frog,frog,frog,0.8647
image_1017_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1017_label_frog.png,frog,frog,frog,frog,0.8689
image_1018_label_deer.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1018_label_deer.png,deer,deer,deer,deer,0.7529
image_1019_label_horse.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1019_label_horse.png,horse,horse,horse,horse,0.9409
image_101_label_cat.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_101_label_cat.png,cat,cat,cat,cat,0.8806
image_1020_label_automobile.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1020_label_automobile.png,automobile,automobile,automobile,automobile,0.9638
image_1021_label_automobile.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1021_label_automobile.png,automobile,automobile,automobile,automobile,0.9639
image_1022_label_deer.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1022_label_deer.png,horse,deer,horse,horse,0.8799
image_1023_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1023_label_frog.png,frog,frog,frog,frog,0.8685
image_1024_label_bird.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1024_label_bird.png,bird,bird,bird,bird,0.9219
image_1025_label_cat.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1025_label_cat.png,frog,cat,frog,frog,0.6553
image_1026_label_truck.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1026_label_truck.png,truck,truck,truck,truck,0.9372
image_1027_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1027_label_frog.png,frog,frog,frog,frog,0.8599
image_1028_label_truck.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1028_label_truck.png,truck,truck,truck,truck,0.9459
image_1029_label_automobile.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1029_label_automobile.png,automobile,automobile,automobile,automobile,0.9638
image_102_label_truck.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_102_label_truck.png,truck,truck,truck,truck,0.9278
image_1030_label_cat.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1030_label_cat.png,cat,cat,cat,cat,0.8390
image_1031_label_frog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1031_label_frog.png,frog,frog,frog,frog,0.8029
image_1032_label_ship.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1032_label_ship.png,ship,ship,ship,ship,0.9481
image_1033_label_dog.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1033_label_dog.png,dog,dog,dog,dog,0.9068
image_1034_label_truck.png,/home/smallb/models/img_classfication_testAcc/data/custom/images3/image_1034_label_truck.png,truck,truck,truck,truck,0.9281
