image,pred_cg3,pred_diffmap,pred_llgc,pred_final,conf_final
image_100_label_ship.png,ship,ship,ship,ship,0.4831
image_101_label_cat.png,cat,cat,cat,cat,0.6642
image_102_label_truck.png,automobile,automobile,automobile,automobile,0.7092
image_103_label_frog.png,frog,frog,cat,frog,0.5571
image_104_label_frog.png,frog,frog,frog,frog,0.5567
image_105_label_automobile.png,automobile,automobile,automobile,automobile,0.7866
image_106_label_ship.png,ship,ship,truck,ship,0.4771
image_107_label_dog.png,cat,frog,cat,cat,0.3470
image_108_label_bird.png,bird,frog,cat,frog,0.4471
image_109_label_truck.png,truck,truck,truck,truck,0.7200
image_110_label_truck.png,truck,truck,truck,truck,0.6961
image_111_label_ship.png,ship,truck,truck,truck,0.2885
image_112_label_automobile.png,automobile,automobile,automobile,automobile,0.7861
image_113_label_horse.png,horse,horse,horse,horse,0.8307
image_114_label_horse.png,horse,horse,horse,horse,0.8322
image_115_label_airplane.png,airplane,airplane,frog,airplane,0.6863
image_116_label_airplane.png,airplane,airplane,frog,airplane,0.6987
image_117_label_frog.png,frog,frog,frog,frog,0.6149
image_118_label_truck.png,truck,truck,truck,truck,0.7045
image_119_label_automobile.png,automobile,automobile,automobile,automobile,0.7875
image_120_label_bird.png,bird,bird,bird,bird,0.6975
image_121_label_bird.png,bird,deer,deer,deer,0.2997
image_122_label_truck.png,truck,truck,truck,truck,0.7220
image_123_label_bird.png,bird,bird,bird,bird,0.5866
image_124_label_frog.png,frog,frog,frog,frog,0.5619
image_125_label_frog.png,frog,frog,frog,frog,0.6114
image_126_label_automobile.png,automobile,automobile,automobile,automobile,0.7851
image_127_label_truck.png,truck,truck,truck,truck,0.6790
image_128_label_dog.png,cat,dog,cat,dog,0.5748
image_129_label_airplane.png,airplane,airplane,airplane,airplane,0.7157
image_130_label_deer.png,cat,cat,cat,cat,0.7157
image_131_label_horse.png,horse,horse,horse,horse,0.8333
image_132_label_frog.png,frog,frog,frog,frog,0.6082
image_133_label_horse.png,horse,horse,horse,horse,0.8316
